Type,unique sample ID or Species Name,Image file ,which object number/speciman number (MCZ...),Which slide in the powerpoint,KPg. 66.04; Modern=0,Ichthyolith Type,Shape,Spades,Anterior shape (old Base),Anterior Marginal Macro Texture,Anterior Marginal Micro Texture,Posterior shape (old Tip),Posterior Marginal Macro Texture,Posterior Marginal Micro Texture Description,Planes of Symmetry,# of cusps,Cusps definition,Cusp Similarity,Cusp Relative Length,Ridge System,Number of ridge segments,Number of independent ridges,Ridge Outgrowths,Ridge Orientation,Central Ridge(s) or trough Disparity,Central Ridge Directionality,Central Ridge Width,Non-Central Ridge Directionality,Non-Central Ridge Width,Central Ridge System Shape,Central Ridge System Shape planes of symmetry,Ridge length,Ridge Definition,Ridge/Ridge Height,Ridge/Trough Angularity,# of depression,Depression(s) type,Location of depression,Shape of dimple(s),Secondary Ridge Features,Surface texture location,Surface texture coverage,Overall base shape,Mound,Base width/length,Crown to base ratio,Number of Grooves,Root foramen opening shape,Root foramen location,Peduncle height:width,Crown:root angle,Base to crown connection location,Notes,Numerical Only Code (autofills),Ichthyolith Type,Shape,Spades,Anterior shape (old Base),Anterior Marginal Macro Texture,Anterior Marginal Micro Texture,Posterior shape (old Tip),Posterior Marginal Macro Texture,Posterior Marginal Micro Texture Description,Planes of Symmetry,# of cusps,Cusps definition,Cusp Similarity,Cusp Relative Length,Ridge System,Number of ridge segments,Number of independent ridges,Ridge Outgrowths,Ridge Orientation,Central Ridge(s) or trough Disparity,Central Ridge Directionality,Central Ridge Width,Non-Central Ridge Directionality,Non-Central Ridge Width,Central Ridge System Shape,Central Ridge System Shape planes of symmetry,Ridge length,Ridge Definition,Ridge/Ridge Height,Ridge/Trough Angularity,# of depression,Depression(s) type,Location of depression,Shape of dimple(s),Secondary Ridge Features,Surface texture location,Surface texture coverage,Overall base shape,Mound,Base width/length,Crown to base ratio,Number of Grooves,Root foramen opening shape,Root foramen location,Peduncle height:width,Crown:root angle,Base to crown connection location
Flying squirrel,Pseudocarcharias kamoharai,Castro,Pg. 222,57,0,Z1.2.Denticle,A1.4 Spade,A2.3 Pointed Spade,B1.3 Pointed (vertex),B2.3 Pointed margin texture,B3.1 Smooth,C1.3 Pointed,C2.4 Posterior is a vertex,C3.1 Smooth,D1.2 one,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,"F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)",G1.2 one,G2.2 one,G3.1 no ridge outgrowths,H1.0 Only one Ridge/No Ridges or too broken to code,I1.2 Only one Ridge,I2.1 Straight,I3.1 Parallel,J1.0 None/only one ridge or too broken to code,J2.0 None or too broken to code,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,L1.2 Ridge length=lateral length,L2.3 Clearly Defined,L3.1 Only one ridge,L4.2 Ridge profiles or troughs are triangular,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.1 Not mounded,,,2,4,3,3,3,1,3,4,1,2,1,0,0,0,2,2,2,1,0,2,1,1,0,0,1,0,2,3,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
Forked Oval,Squatina occulta,"Vaz, D. F., & De Carvalho, M. R. (2013)",D,567,0,Z1.2.Denticle,A1.4 Spade,A2.3 Pointed Spade,B1.2 Rounded,B2.1 Smooth,B3.1 Smooth,C1.2 Rounded,C2.1 Smooth,C3.1 Smooth,D1.2 one,E1.5 four,E2.2 Cusps defined by ridges,"E3.3 cusps opposite each other are similar, cusps next to each other are distinct",E4.1 x < ¼ ,"F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)",G1.5 four,G2.5 four,G3.1 no ridge outgrowths,H1.4 Diverges then converges,I1.1 No central ridge,I2.0 None or too broken to code,I3.0 None or too broken to code,J1.2 Concave Curved,J2.1 Parallel,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,L1.3 Ridge ends mid crown/ Ridge begins mid crown,L2.3 Clearly Defined,L3.2 equal ridge heights,L4.1 Ridge profiles or trough are rounded,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.2 Mounded,,,2,4,3,2,1,1,2,1,1,2,5,2,3,1,2,5,5,1,4,1,0,0,2,1,1,0,3,3,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Forked Spade,Squatina occulta,"Vaz, D. F., & De Carvalho, M. R. (2013)",C,566,0,Z1.2.Denticle,A1.4 Spade,A2.3 Pointed Spade,B1.2 Rounded,B2.1 Smooth,B3.1 Smooth,C1.2 Rounded,C2.4 Posterior is a vertex,C3.1 Smooth,D1.2 one,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,"F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)",G1.5 four,G2.5 four,G3.1 no ridge outgrowths,H1.2 Converges from anterior,I1.1 No central ridge,I2.0 None or too broken to code,I3.0 None or too broken to code,J1.1 Straight,J2.1 Parallel,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,L1.2 Ridge length=lateral length,L2.3 Clearly Defined,L3.2 equal ridge heights,L4.2 Ridge profiles or troughs are triangular,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.2 Mounded,,,2,4,3,2,1,1,2,4,1,2,1,0,0,0,2,5,5,1,2,1,0,0,1,1,1,0,2,3,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Four Ridged Linear Spade,ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-060-7H-3W-130-133cm-g106_obj00031_edf,31,7,22.3102,Z1.2.Denticle,A1.4 Spade,A2.2 Squared Spade,B1.3 Pointed (vertex),B2.4 anterior is a vertex,B3.1 Smooth,C1.1 Straight,C2.2 Scalloped margin texture,C3.1 Smooth,D1.1 None,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,"F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)",G1.5 four,G2.5 four,G3.1 no ridge outgrowths,H1.1 Parallel,I1.1 No central ridge,I2.0 None or too broken to code,I3.0 None or too broken to code,J1.1 Straight,J2.1 Parallel,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,L1.2 Ridge length=lateral length,L2.3 Clearly Defined,L3.2 equal ridge heights,L4.1 Ridge profiles or trough are rounded,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,4,2,3,4,1,1,2,1,1,1,0,0,0,2,5,5,1,1,1,0,0,1,1,1,0,2,3,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Four Thin Ridged Petal,Carcharhinus melanopterus,Reif,Pg. 206 M1,447,0,Z1.2.Denticle,A1.4 Spade,A2.1 Rounded Spade,B1.2 Rounded,B2.2 Scalloped margin texture,B3.1 Smooth,C1.3 Pointed,C2.4 Posterior is a vertex,C3.1 Smooth,D1.1 None,E1.2 one,E2.1 Ridges not associated with cusps,E3.0 No cusps/one cusp or too broken to code,E4.1 x < ¼ ,"F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)",G1.5 four,G2.5 four,G3.1 no ridge outgrowths,H1.2 Converges from anterior,I1.1 No central ridge,I2.0 None or too broken to code,I3.0 None or too broken to code,J1.1 Straight,J2.1 Parallel,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,"L1.5 Includes ridges described by a combination of 1,2, 3,",L2.3 Clearly Defined,L3.2 equal ridge heights,L4.2 Ridge profiles or troughs are triangular,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,4,1,2,2,1,3,4,1,1,2,1,0,1,2,5,5,1,2,1,0,0,1,1,1,0,5,3,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Funky Central Ridged Diamond,DSDP-596-P051-M59-2H-7W-27-28cm-g106_Hwell_N1of1,DSDP-596-P051-M59-2H-7W-27-28cm-g106_obj00017_edf.jpeg,17,,39.42421,Z1.2.Denticle,A1.5 Diamond/Rectangle/(Can be asymmetrical/kite-like),A2.0 Not a Spade/too broken to code,B1.4 Denticle lacks directionality/Cannot discern anterior,B2.4 anterior is a vertex,B3.2 Distinct serrated,C1.4 Denticle lacks directionality/Cannot discern posterior,C2.4 Posterior is a vertex,C3.2 Distinct serrated,D1.1 None,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,F1.3 Geometric (Central branching pattern),G1.7 six-ten,G2.2 one,G3.1 no ridge outgrowths,H1.5 Ridges intesect/branch,I1.4 Distinct shape/size from other ridges,I2.1 Straight,I3.3 Triangular thinning from anterior,J1.4 Meandering,J2.1 Parallel,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,"L1.5 Includes ridges described by a combination of 1,2, 3,",L2.2 Clearly defined on part of the crown but gets shallower and does not extend to full length of denticle,L3.3 Variable ridge height,L4.4 Ridge profiles or troughs are variable or described by another shape,M1.3 two,M2.3 Dimples (depressions surrounded by ridges),M3.2 Close to edge depression,M4.6 Irregular,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.1 Not mounded,,,2,5,0,4,4,2,4,4,2,1,1,0,0,0,3,7,2,1,5,4,1,3,4,1,1,0,5,2,3,4,3,3,2,6,2,0,0,0,0,0,0,0,0,0,0,0,1
Funky Central Ridged Spade,Galeocerdo cuvier,Reif,Pg. 227 H2,511,0,Z1.2.Denticle,A1.4 Spade,A2.1 Rounded Spade,B1.2 Rounded,B2.1 Smooth,B3.1 Smooth,C1.3 Pointed,C2.4 Posterior is a vertex,C3.1 Smooth,D1.2 one,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,"F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)",G1.5 four,G2.4 three,G3.1 no ridge outgrowths,H1.2 Converges from anterior,I1.4 Distinct shape/size from other ridges,I2.1 Straight,I3.3 Triangular thinning from anterior,J1.1 Straight,J2.1 Parallel,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,L1.2 Ridge length=lateral length,L2.3 Clearly Defined,L3.2 equal ridge heights,L4.2 Ridge profiles or troughs are triangular,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,4,1,2,1,1,3,4,1,2,1,0,0,0,2,5,4,1,2,4,1,3,1,1,1,0,2,3,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Fusiform Dimpled Diamond,DSDP-596-P041-M38-2H-6W-71-73cm-g106_Hwell_N1of1,DSDP-596-P041-M38-2H-6W-71-73cm-g106_obj00002,2,,34.05,Z1.2.Denticle,A1.5 Diamond/Rectangle/(Can be asymmetrical/kite-like),A2.0 Not a Spade/too broken to code,B1.4 Denticle lacks directionality/Cannot discern anterior,B2.4 anterior is a vertex,B3.1 Smooth,C1.4 Denticle lacks directionality/Cannot discern posterior,C2.4 Posterior is a vertex,C3.1 Smooth,D1.1 None,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,F1.3 Geometric (Central branching pattern),G1.7 six-ten,G2.2 one,G3.1 no ridge outgrowths,H1.5 Ridges intesect/branch,I1.1 No central ridge,I2.0 None or too broken to code,I3.0 None or too broken to code,J1.4 Meandering,J2.1 Parallel,K1.2 Circular/oval,K2.2 one,"L1.5 Includes ridges described by a combination of 1,2, 3,",L2.3 Clearly Defined,L3.2 equal ridge heights,L4.2 Ridge profiles or troughs are triangular,M1.2 one,M2.3 Dimples (depressions surrounded by ridges),M3.1 Central depression,M4.2 Elongated,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,5,0,4,4,1,4,4,1,1,1,0,0,0,3,7,2,1,5,1,0,0,4,1,2,2,5,3,2,2,2,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Fusiform spines,Raja_clavata,Serra-Pereira et al.  d,,141,0,Z1.2.Denticle,A1.1 Spine,A2.0 Not a Spade/too broken to code,B1.0 Too broken to code,B2.0 Too broken to code,B3.1 Smooth,C1.3 Pointed,C2.4 Posterior is a vertex,C3.1 Smooth,D1.2 one,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,F1.1 Smooth,G1.1 None,G2.1 None,G3.1 no ridge outgrowths,H1.0 Only one Ridge/No Ridges or too broken to code,I1.0 No ridges or too broken to code,I2.0 None or too broken to code,I3.0 None or too broken to code,J1.0 None/only one ridge or too broken to code,J2.0 None or too broken to code,K1.0 No Ridges or too broken to code,K2.0 No central shape or too broken to code,L1.1 No ridges,L2.0 No Ridges or too broken to code,L3.0 None or too broken to code,L4.0 No ridges or too broken to code,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.1 No Ridges,N2.0 None,N3.0 None,O1.8 Oval/oval like,O2.3 Longer than wide,O3.3 Base has a larger area,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.4 Acute,O9.2 at center of crown,O10.0 Base not preserved/too broken to code,,,2,1,0,0,0,1,3,4,1,2,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,8,3,3,0,0,0,0,4,2,0
Generic Double Dimpled Complex Polygon,DSDP-596-P046-M49-2H-6W-125-127cm-g106_Hwell_N1of1,DSDP-596-P046-M49-2H-6W-125-127cm-g106_obj00008,8,,36.84,Z1.2.Denticle,A1.0 Too broken to code,A2.0 Not a Spade/too broken to code,B1.0 Too broken to code,B2.0 Too broken to code,B3.0 Too broken to code,C1.0 Too broken to code,C2.0 Too broken to code,C3.0 Too broken to code,D1.2 one,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,F1.3 Geometric (Central branching pattern),G1.8 eleven or more,G2.2 one,G3.1 no ridge outgrowths,H1.5 Ridges intesect/branch,I1.1 No central ridge,I2.0 None or too broken to code,I3.0 None or too broken to code,J1.1 Straight,J2.1 Parallel,K1.10 Multiple,K2.1 central shape but no plane of symmetry,"L1.5 Includes ridges described by a combination of 1,2, 3,",L2.3 Clearly Defined,L3.3 Variable ridge height,L4.1 Ridge profiles or trough are rounded,M1.3 two,M2.3 Dimples (depressions surrounded by ridges),M3.2 Close to edge depression,M4.1 circle,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,0,0,0,0,0,0,0,0,2,1,0,0,0,3,8,2,1,5,1,0,0,1,1,10,1,5,3,3,1,3,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Generic Kite,DSDP-596-P022-L44-2H-5W-4-6cm-g106_Hwell_N1of1,DSDP-596-P022-L44-2H-5W-4-6cm-g106_Hwell_N1of1_obj00037,37,52,22.956176,Z1.2.Denticle,A1.2 Cruciform,A2.0 Not a Spade/too broken to code,B1.4 Denticle lacks directionality/Cannot discern anterior,B2.4 anterior is a vertex,B3.1 Smooth,C1.4 Denticle lacks directionality/Cannot discern posterior,C2.4 Posterior is a vertex,C3.1 Smooth,D1.1 None,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,F1.3 Geometric (Central branching pattern),G1.7 six-ten,G2.2 one,G3.1 no ridge outgrowths,H1.5 Ridges intesect/branch,I1.1 No central ridge,I2.0 None or too broken to code,I3.0 None or too broken to code,J1.1 Straight,J2.1 Parallel,K1.4 Quadrilateral,K2.1 central shape but no plane of symmetry,"L1.5 Includes ridges described by a combination of 1,2, 3,",L2.2 Clearly defined on part of the crown but gets shallower and does not extend to full length of denticle,L3.2 equal ridge heights,L4.2 Ridge profiles or troughs are triangular,M1.2 one,M2.3 Dimples (depressions surrounded by ridges),M3.1 Central depression,M4.1 circle,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,2,0,4,4,1,4,4,1,1,1,0,0,0,3,7,2,1,5,1,0,0,1,1,4,1,5,2,2,2,2,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Generic Single Dimpled Complex Polygon,DSDP-596-P039-L51-2H-6W-57-59cm-g106_Hwell_N1of1,DSDP-596-P039-L51-2H-6W-57-59cm-g106_Hwell_N1of1_obj00020,20,97,33.31,Z1.2.Denticle,A1.7 Irregular/ other,A2.0 Not a Spade/too broken to code,B1.0 Too broken to code,B2.0 Too broken to code,B3.0 Too broken to code,C1.0 Too broken to code,C2.0 Too broken to code,C3.0 Too broken to code,D1.0 Too broken to code,E1.0 Too broken to code,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,F1.3 Geometric (Central branching pattern),G1.7 six-ten,G2.2 one,G3.1 no ridge outgrowths,H1.5 Ridges intesect/branch,I1.1 No central ridge,I2.0 None or too broken to code,I3.0 None or too broken to code,J1.5 Combination,J2.1 Parallel,K1.0 No Ridges or too broken to code,K2.0 No central shape or too broken to code,"L1.5 Includes ridges described by a combination of 1,2, 3,",L2.2 Clearly defined on part of the crown but gets shallower and does not extend to full length of denticle,L3.3 Variable ridge height,L4.1 Ridge profiles or trough are rounded,M1.2 one,M2.3 Dimples (depressions surrounded by ridges),M3.1 Central depression,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,7,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2,1,5,1,0,0,5,1,0,0,5,2,3,1,2,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Geometric Arrowhead,ODP-886-090-7H-4W-135-138cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5,ODP-886-090-7H-4W-135-138cm-g106_obj00024_edf,24,82,26.4542,Z1.2.Denticle,A1.9 Triangular or Arrow-like,A2.0 Not a Spade/too broken to code,B1.4 Denticle lacks directionality/Cannot discern anterior,B2.1 Smooth,B3.1 Smooth,C1.4 Denticle lacks directionality/Cannot discern posterior,C2.4 Posterior is a vertex,C3.1 Smooth,D1.1 None,E1.1 None,E2.0 No cusps or too broken to code,E3.0 No cusps/one cusp or too broken to code,E4.0 No cusps or too broken to code,F1.4 Meandering ridges (ridges curve or intersect in more than 1 way/direction),G1.3 two,G2.3 two,G3.1 no ridge outgrowths,H1.7 Irregular/no discernable anterior/posterior,I1.1 No central ridge,I2.0 None or too broken to code,I3.0 None or too broken to code,J1.4 Meandering,J2.1 Parallel,K1.1 Ridges present but no central shape observed,K2.0 No central shape or too broken to code,L1.2 Ridge length=lateral length,L2.1 Not Clearly Defined,L3.2 equal ridge heights,L4.1 Ridge profiles or trough are rounded,M1.1 None,M2.0 No depression or too broken to code,M3.0 No depression or too broken to code,M4.0 none or too broken to code,N1.2 No secondary ridge features,N2.0 None,N3.0 None,O1.0 Base not preserved/too broken to code,O2.0 Base not preserved/too broken to code,O3.0 Base not preserved/too broken to code,O4.0 Base not preserved/too broken to code,O5.0 Base not preserved/too broken to code,O6.0 No root opening or base not preserved/too broken to code,O7.0 Base not preserved/too broken to code,O8.0 Base not preserved/too broken to code,O9.0 Base not preserved/too broken to code,O10.0 Base not preserved/too broken to code,,,2,9,0,4,1,1,4,4,1,1,1,0,0,0,4,3,3,1,7,1,0,0,4,1,1,0,2,1,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
